,Fitness Function= 15x - x2,,,,,,,,,,,,
Initial Population,,,Fitness,,Selection,,Cross-Over,,,,,,80
ID,CODE,Chromosome,Fitness,Fitness Ratio%,Roullet,,Roll_1,Roll_2,Roll_3,Roll_4,Roll_5,Roll_6,
x1,11,1011,44,21.57,21.57,,11,98,1,24,29,92,
x2,11,1011,44,21.57,43.14,,Parent 1,Parent 2,Parent 1,Parent 2,Parent 1,Parent 2,
x3,15,1111,0,0,43.14,,1011,0010,1011,1011,1011,0010,
x4,9,1001,54,26.47,69.61,,Child 1,Child 2,Child 1,Child 2,Child 1,Child 2,
x5,12,1100,36,17.65,87.26,Chromosome,1010,0011,1011,1011,1011,0010,
x6,2,0010,26,12.75,100.01,CODE,10,3,11,11,11,2,
,,Total,204,,,,TRUE,,TRUE,,FALSE,,0.5
,,Max,54,,,,,,,,,,Mutation_Chance
,,,,,,,Mutation,,,,,,90
,,,,,,Gene Position,-1,-1,-1,4,-1,-1,
,,,,,,Chomosome,1010,0011,1011,1010,1011,0010,
,,,,,,Code,10,3,11,10,11,2,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Population,,,Fitness,,Selection,,Cross-Over,,,,,,
ID,CODE,Chromosome,Fitness,Fitness Ratio%,Roullet,,Roll_1,Roll_2,Roll_3,Roll_4,Roll_5,Roll_6,
x1,10,1010,50,20,20,,55,47,38,1,80,34,
x2,3,0011,36,14.4,34.4,,Parent 1,Parent 2,Parent 1,Parent 2,Parent 1,Parent 2,
x3,11,1011,44,17.6,52,,1010,1011,1011,1010,1011,0011,
x4,10,1010,50,20,72,,Child 1,Child 2,Child 1,Child 2,Child 1,Child 2,
x5,11,1011,44,17.6,89.6,Chromosome,1011,1010,1010,1011,1011,0011,
x6,2,0010,26,10.4,100,CODE,11,10,10,11,11,3,
,,Total,250,,,,,,,,,,
,,Max,50,,,,,,,,,,
,,,,,,,Mutation,,,,,,
,,,,,,Gene Position,-1,-1,-1,-1,-1,-1,
,,,,,,Chomosome,1011,1010,1010,1011,1011,0011,
,,,,,,Code,11,10,10,11,11,3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Population,,,Fitness,,Selection,,Cross-Over,,,,,,
ID,CODE,Chromosome,Fitness,Fitness Ratio%,Roullet,,Roll_1,Roll_2,Roll_3,Roll_4,Roll_5,Roll_6,
x1,11,1011,44,17.6,117.6,,100,76,8,94,71,17,
x2,10,1010,50,20,137.6,,Parent 1,Parent 2,Parent 1,Parent 2,Parent 1,Parent 2,
x3,10,1010,50,20,157.6,,1011,1011,1011,1011,1011,1011,
x4,11,1011,44,17.6,175.2,,Child 1,Child 2,Child 1,Child 2,Child 1,Child 2,
x5,11,1011,44,17.6,192.8,Chromosome,1011,1011,1011,1011,1011,1011,
x6,3,0011,36,14.4,207.2,CODE,11,11,11,11,11,11,
,,Total,268,,,,,,,,,,
,,Max,50,,,,,,,,,,
,,,,,,,Mutation,,,,,,
,,,,,,Gene Position,4,-1,3,-1,-1,-1,
,,,,,,Chomosome,1010,1011,1001,1011,1011,1011,
,,,,,,Code,10,11,9,11,11,11,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Population,,,Fitness,,Selection,,Cross-Over,,,,,,
ID,CODE,Chromosome,Fitness,Fitness Ratio%,Roullet,,Roll_1,Roll_2,Roll_3,Roll_4,Roll_5,Roll_6,
x1,10,1010,50,20,227.2,,83,38,74,47,96,45,
x2,11,1011,44,17.6,244.8,,Parent 1,Parent 2,Parent 1,Parent 2,Parent 1,Parent 2,
x3,9,1001,54,21.6,266.4,,1010,1010,1010,1010,1010,1010,
x4,11,1011,44,17.6,284,,Child 1,Child 2,Child 1,Child 2,Child 1,Child 2,
x5,11,1011,44,17.6,301.6,Chromosome,1010,1010,1010,1010,1010,1010,
x6,11,1011,44,17.6,319.2,CODE,10,10,10,10,10,10,
,,Total,280,,,,,,,,,,
,,Max,54,,,,,,,,,,
,,,,,,,Mutation,,,,,,
,,,,,,Gene Position,1,3,1,3,3,4,
,,,,,,Chomosome,0010,1000,0010,1000,1000,1011,
,,,,,,Code,2,8,2,8,8,11,
